customer_userid,user_age,user_height,user_size,user_weight,user_body_type,user_color
user_1,39,"5'8""",XL,214 lbs.,Hourglass,red
user_2,35,"5'5""",L,144 lbs.,Straight,red
user_3,36,"5'7""",M,135 lbs.,Hourglass,red
user_4,,"5'5""",S,130 lbs.,Apple,red
user_5,36,"5'4""",M,122 lbs.,Straight,red
user_6,29,"5'8""",M,120 lbs.,Straight,red
user_7,24,"5'7""",XS,125 lbs.,,red
user_8,54,"5'7""",XL,202 lbs.,Apple,red
user_9,32,"5'5""",M,125 lbs.,Hourglass,red
user_10,40,"5'2""",XS,107 lbs.,Hourglass,red
user_11,28,"5'5""",S,120 lbs.,Straight,multi
user_12,26,"5'2""",XS,108 lbs.,Straight,multi
user_13,29,"5'7""",XXS,110 lbs.,Hourglass,multi
user_14,30,6',M,158 lbs.,Hourglass,multi
user_15,41,"5'9""",M,140 lbs.,Hourglass,multi
user_16,0,"5'7""",S,138 lbs.,Pear,multi
user_17,42,"5'6""",S,130 lbs.,Hourglass,multi
user_18,31,"5'2""",XS,120 lbs.,Hourglass,multi
user_19,23,"5'7""",L,170 lbs.,Hourglass,black & wh...
user_20,35,"5'8""",XS,125 lbs.,Straight,black & wh...
user_21,38,"5'10""",XL,180 lbs.,Pear,black & wh...
user_22,36,"5'5""",M,149 lbs.,Hourglass,black & wh...
user_23,57,"5'6""",S,125 lbs.,Hourglass,black & wh...
user_24,31,"5'8""",S,140 lbs.,Pear,black & wh...
user_25,35,"5'9""",M,140 lbs.,Pear,black & wh...
user_26,,"5'5""",XS,107 lbs.,Straight,black & wh...
user_27,21,"5'4""",S,130 lbs.,Straight,black & wh...
user_28,24,"5'7""",S,135 lbs.,Hourglass,black & wh...
user_29,23,"5'7""",L,160 lbs.,Hourglass,black & wh...
user_30,20,"5'4""",XS,110 lbs.,Pear,black & wh...
user_31,26,"5'6""",M,140 lbs.,Straight,black & wh...
user_32,31,"5'8""",M,160 lbs.,Hourglass,black & wh...
user_33,43,"5'5""",M,140 lbs.,Hourglass,black & wh...
user_34,26,"5'6""",XL,165 lbs.,Hourglass,black & wh...
user_35,33,"5'10""",XL,190 lbs.,Hourglass,white
user_36,28,"5'9""",L,190 lbs.,Hourglass,white
user_37,25,"5'4""",L,175 lbs.,Hourglass,white
user_38,28,"4'11""",XS,105 lbs.,Straight,white
user_39,28,"5'3""",XS,105 lbs.,Inverted Triangle,white
user_40,53,"5'3""",M,135 lbs.,Hourglass,white
user_41,34,"5'3""",S,115 lbs.,Pear,white
user_42,,"5'2""",L,,Apple,white
user_43,41,"5'5""",S,112 lbs.,Apple,white
user_44,22,"5'6""",M,150 lbs.,,white
user_45,43,"5'2""",L,0 lbs.,Hourglass,white
user_46,28,"5'5""",XS,110 lbs.,Straight,white
user_47,24,"5'7""",S,140 lbs.,Hourglass,white
user_48,34,"5'8""",L,220 lbs.,Hourglass,white
user_49,33,"5'2""",XS,100 lbs.,Inverted Triangle,white
user_50,43,"5'4""",XS,119 lbs.,Hourglass,white
user_51,,,L,,,white
user_52,37,"5'4""",L,135 lbs.,Pear,white
user_53,35,"5'5""",XL,220 lbs.,Hourglass,white
user_54,44,"5'8""",M,138 lbs.,Hourglass,white
user_55,33,"5'4""",S,118 lbs.,Inverted Triangle,white
user_56,31,"5'10""",M,160 lbs.,Straight,white
user_57,33,"5'3""",XS,108 lbs.,Straight,white
user_58,32,"5'9""",XS,125 lbs.,Straight,white
user_59,47,"5'6""",M,170 lbs.,Hourglass,white
user_60,32,"5'10""",M,145 lbs.,Hourglass,white
user_61,33,"5'10""",S,126 lbs.,Straight,white
user_62,37,"5'6""",M,172 lbs.,Hourglass,white
user_63,48,"5'4""",L,160 lbs.,Pear,white
user_64,32,"5'8""",M,160 lbs.,Hourglass,white
user_65,33,"5'7""",XS,130 lbs.,Straight,white
user_66,32,"5'9""",L,140 lbs.,Straight,white
user_67,42,"5'9""",XL,225 lbs.,Apple,white
