product_link,product_name,product_description,product_price,product_id,product_category
https://www.nuuly.com/rent/products/mirage-high-rise-fitted-shorts?color=060,Mirage High-Rise Fitted Shorts,"The Australian designer couple behind cult-fave Rolla's incorporates their experience working with global denim brands to create jeans, dresses and more using clean, classic lines updated with modern touches.",109,49cc5dcc-12ed-4c01-8c26-587f39c7bb19,shorts
https://www.nuuly.com/rent/products/floral-printed-cutout-maxi-dress?color=000,Floral Printed Cutout Maxi Dress,"Founded in Mexico City by French designers Aude Jan and Charles Gout and handcrafted in Spain, Audette Studios creates clothes crafted from luxury deadstock and organic materials. Think: party-ready glam and everyday cool. ",238,582214b0-6404-4f75-b2de-ca04821b5fdb,dress
https://www.nuuly.com/rent/products/check-print-slip-skirt?color=018,Check Print Slip Skirt,,68,1b4f7033-990a-4958-85bf-ba0d7b547ea8,skirt
https://www.nuuly.com/rent/products/serve-collared-bodysuit?color=010,Serve Collared Bodysuit,"Gathering inspiration from the past and interpreting it for the present in a unique way is at the heart of the Free People aesthetic. Exclusive washes and distressing paired with feminine details like hand-stitching and contrast lace give each style its coveted, creative edge.",58,0f6c5560-921b-4a62-9896-41d37bea79db,bodysuit
https://www.nuuly.com/rent/products/skipper-buttondown-top?color=010,Skipper Buttondown Top,"The ultimate destination for slip-it-on and go styles, L Space is a California brand doing clothes that not only fit your body but fit your life. Find easy sets, dresses and activewear that celebrate the feeling of clothes you'll love to live in.",139,b033fb04-6fc0-4649-8d33-db7eff2208d4,top
https://www.nuuly.com/rent/products/distressed-90s-shorts?color=093,Distressed '90s Shorts,"Good American is the first fully inclusive fashion brand that celebrates all dimensions of female power. Offering quality, style and substance in sizes XS–5XL, Good American is committed to challenging industry norms by empowering women to feel sexy and confident no matter their size or shape.",119,245ecf8a-fcc8-48d9-993b-aa8a457d7bfc,shorts
https://www.nuuly.com/rent/products/tie-strap-maxi-dress?color=055,Tie Strap Maxi Dress,,220,af5790dd-4631-4343-baba-927ebef9c9d2,dress
https://www.nuuly.com/rent/products/70s-high-rise-flare-jeans?color=001,70's High Rise Flare Jeans,"Over 150 years ago, Levi Strauss created the durable workwear garment which transformed everyday style and culture as we know it. Iconic Levi’s denim is both nostalgic and contemporary, and more importantly, built to last. ",108,1c4dbe55-a555-44f8-ac4b-532450cdb488,jeans
https://www.nuuly.com/rent/products/henley-peasant-blouse?color=049,Henley Peasant Blouse,"The thoughtfully designed pieces from Anthropologie surprise, delight and tell stories—of a collaborative, inventive community of women savoring every adventure and seeking beauty wherever they go. ",110,bf6456e7-a7db-4d91-ad6f-0a9818fa942e,blouse
https://www.nuuly.com/rent/products/butterfly-satin-mini-dress?color=070,Butterfly Satin Mini Dress,"Featuring vibrant colors, daring prints and exquisite details, each of Payal Jain’s garments reflect the beauty and individuality of her home in Delhi, India.  ",250,6188a765-bbfd-46d8-96a4-fa097f424b44,dress
https://www.nuuly.com/rent/products/carys-mock-neck-sweater?color=001,Carys Mock Neck Sweater,"The name ""Maeve"" references a purple flower, a Greek goddess and a famously beautiful Irish warrior queen, all inspirations for this structured, delicate Exclusive to Anthropologie, Maeve designs are refined, flattering and endlessly wearable.",98,23279d59-4b36-4e3f-a1b4-cf75ab8cf94e,sweater
https://www.nuuly.com/rent/products/slit-front-denim-skirt?color=091,Slit-Front Denim Skirt,"Anthropologie's exclusive collection of premium denim + everyday outfitting offers an expansive array of made-for-you pieces that are versatile, comfortable and inclusive of all sizes, styles and vibes.",158,3e20a257-7ad9-41ef-9fdc-00508701e52c,skirt
https://www.nuuly.com/rent/products/tiered-flutter-sleeve-dress?color=060,Tiered Flutter-Sleeve Dress,"The thoughtfully designed pieces from Anthropologie surprise, delight and tell stories—of a collaborative, inventive community of women savoring every adventure and seeking beauty wherever they go. ",170,2a9d3611-7245-4a2c-beaa-f81a1bee93f8,dress
https://www.nuuly.com/rent/products/smocked-waist-zip-up-shirt-dress?color=096,Smocked-Waist Zip-Up Shirt Dress,"The name ""Maeve"" references a purple flower, a Greek goddess and a famously beautiful Irish warrior queen, all inspirations for this structured, delicate Exclusive to Anthropologie, Maeve designs are refined, flattering and endlessly wearable.",170,9d39a4bd-3e98-4163-8fe5-aea06b32c487,dress
https://www.nuuly.com/rent/products/strapless-scalloped-dress?color=001,Strapless Scalloped Dress,Vineet Bahl’s captivating designs celebrate fluidity and freedom. These unconventional pieces draw on textural elements and intense colors to defy industry-based trends and structures.,210,bafc326c-9bfe-4e49-bd6d-cd68be0b31db,dress
https://www.nuuly.com/rent/products/golden-hour-midi-skirt?color=001,Golden Hour Midi Skirt,"Gathering inspiration from the past and interpreting it for the present in a unique way is at the heart of the Free People aesthetic. Exclusive washes and distressing paired with feminine details like hand-stitching and contrast lace give each style its coveted, creative edge.",60,3f78645d-a68e-4b29-b1f0-3fb8c0b7744b,skirt
https://www.nuuly.com/rent/products/ruffled-neckline-pleated-dress?color=060,Ruffled-Neckline Pleated Dress,"The name ""Maeve"" references a purple flower, a Greek goddess and a famously beautiful Irish warrior queen, all inspirations for this structured, delicate Exclusive to Anthropologie, Maeve designs are refined, flattering and endlessly wearable.",220,f0528d98-ac84-42c3-b5a0-6e70d3225c00,dress
https://www.nuuly.com/rent/products/pamela-oversized-sweater?color=018,Pamela Oversized Sweater,"FRENCHMAUVE seeks to create beautifully made clothes that empower women to embrace their own unique style—that's blazers, dresses and jumpsuits with both elegance and playfulness. These are the types of pieces you reach for when you need something chic with a hint of wit (just like you, really).",175,5e3af064-7bb2-424f-accf-2945b953d705,sweater
https://www.nuuly.com/rent/products/sequin-strapless-mini-dress?color=010,Sequin Strapless Mini Dress,"In ancient times, the ward kasia represented purity, the feeling and expression of joy and a natural, unpretentious beauty. Now, Greek brand Kasia is reinventing its roots using natural materials like cotton, linen and silk to make pieces that embody purity, joy and beauty.",220,3ac4901e-ca46-4b6c-b95e-96466d596b3a,dress
https://www.nuuly.com/rent/products/oceans-legend-shorts?color=093,Oceans Legend Shorts,"Meet your new go-to jeans. Known for their cult-favorite Bandit cutoffs, oneteaspoon combines on-trend silhouettes, vintage washes and bespoke distressing for pure denim bliss.",108,aa70b3ba-26f2-4aaf-879e-693a0ce10567,shorts
https://www.nuuly.com/rent/products/landy-printed-top?color=047,Landy Printed Top,"Gathering inspiration from the past and interpreting it for the present in a unique way is at the heart of the Free People aesthetic. Exclusive washes and distressing paired with feminine details like hand-stitching and contrast lace give each style its coveted, creative edge.",78,b6f15100-dfd5-4889-b652-09be2de9d4ce,top
https://www.nuuly.com/rent/products/one-shoulder-bubble-dress?color=049,One-Shoulder Bubble Dress,"Founded in 2010 by New Yorker Daniel Saponaro, Hutch opts for sophistication over trend, showcasing Saponaro's love of vibrant colors, conceptual prints and feminine tailoring.",188,d5a5eac5-16b0-4b6a-86cf-f7fb0fae0dd4,dress
https://www.nuuly.com/rent/products/double-breasted-tweed-jacket?color=018,Double-Breasted Tweed Jacket,"The name ""Maeve"" references a purple flower, a Greek goddess and a famously beautiful Irish warrior queen, all inspirations for this structured, delicate Exclusive to Anthropologie, Maeve designs are refined, flattering and endlessly wearable.",148,6ef73b7e-adae-4e71-8852-8b33e0abacee,jacket
https://www.nuuly.com/rent/products/bella-zip-up-cardigan?color=001,Bella Zip-Up Cardigan,"Totally basic, totally necessary, BDG is Urban Outfitters' true staple collection. Borrowing style tips from the collegiate crowd, BDG gives classic denim fits an original twist.",59,0ed3894d-fc27-43fe-9035-d036b6e5fbca,cardigan
https://www.nuuly.com/rent/products/cowl-neck-ruched-slip-dress?color=000,Cowl-Neck Ruched Slip Dress,"The thoughtfully designed pieces from Anthropologie surprise, delight and tell stories—of a collaborative, inventive community of women savoring every adventure and seeking beauty wherever they go. ",170,21ac8927-712c-4820-9a42-b5dff2ee0abc,dress
https://www.nuuly.com/rent/products/zoriana-bolero-maxi-dress?color=001,Zoriana Bolero Maxi Dress,"Tach Clothing is the passion project of sisters Sabrina and Patricia Tachdjian. With an emphasis on clean lines and timeless silhouettes, each piece is thoughtfully designed and ethically crafted in their native Uruguay.",281,1bbe84eb-06a4-4651-852a-ebb4e02ac0b5,dress
https://www.nuuly.com/rent/products/lace-v-neck-midi-dress?color=061,Lace V-Neck Midi Dress,"Dubbing themselves ""trend-inspired"", ASTR The Label draws from international style and street wear to create attainable looks for all occasions—your best friend's wedding, this week's happy hour or Sunday's brunch.",98,d9da932f-8975-4ca4-ab55-d823992aa0fb,dress
https://www.nuuly.com/rent/products/hi-carpenter-shorts?color=020,Hi Carpenter Shorts,"Also known as Ziggy Denim, ZGY is an Australian denim brand that is known for its premium fabrics and great fit. With classic washed blue jeans + must-have blacks at its core, ZGY is also doing innovative and commercial washes, splashes of seasonal colour and print highlights—making your everyday denim anything but ordinary.",89,0335e13d-eb25-49eb-a210-ba981b309a74,shorts
https://www.nuuly.com/rent/products/santo-lace-romper?color=010,Santo Lace Romper,"Inspired by the sun-soaked days of lemonade stands and founded on the principles of confidence, femininity and individuality, designers Gillian Rose Kern and Laura Hall began LA-based For Love & Lemons in 2011. Look for femme dresses and tops crafted from unexpected prints and fabrics. ",270,74052494-2de4-414a-84c8-aebd2b49c89f,romper
https://www.nuuly.com/rent/products/levi-ribbed-mockneck-cropped-sweater?color=001,Levi Ribbed Mockneck Cropped Sweater,Great denim with a perfect fit + other unfussy outfitting essentials are Madewell's calling card.  ,88,98741b84-3161-4ca7-9233-08762b676a06,sweater
https://www.nuuly.com/rent/products/eva-poplin-top?color=010,Eva Poplin Top,"What began as a simple shopping destination for self-aware, alluring women, Bardot has become an iconic Australian brand that's the go-to for every type of woman. It's retained the spirit of fashion and allure, but now its throw on-and-go ease is reﬁned with styles that are designed and crafted to last.",89,932e7214-4a87-4c7a-b4de-0a5f27fb1816,top
https://www.nuuly.com/rent/products/florentina-maxi-dress?color=066,Florentina Maxi Dress,"Dubbing themselves ""trend-inspired"", ASTR The Label draws from international style and street wear to create attainable looks for all occasions—your best friend's wedding, this week's happy hour or Sunday's brunch.",164,3026c73e-693e-4b30-b996-9a0c0a461cab,dress
https://www.nuuly.com/rent/products/pixie-le-high-flare-side-slit-jeans?color=001,Pixie Le High Flare Side Slit Jeans,"The go-to brand for luxury jeans, FRAME’s coveted denim styles range from timeless to trending and everything in between. ",278,eb3aa753-38f5-4a58-876e-ca2ee21c8283,jeans
https://www.nuuly.com/rent/products/busy-dreaming-midi-dress?color=031,Busy Dreaming Midi Dress,"Gathering inspiration from the past and interpreting it for the present in a unique way is at the heart of the Free People aesthetic. Exclusive washes and distressing paired with feminine details like hand-stitching and contrast lace give each style its coveted, creative edge.",168,9440b20e-e999-4de1-9e3d-dc636acb2288,dress
https://www.nuuly.com/rent/products/anwita-twofer-t-shirt-dress?color=040,Anwita Twofer T-Shirt Dress,"Scandinavian cool meets playful sophistication with Baum und Pferdgarten. Since 1999, this iconic brand has been designing vibrant styles that marry unique prints, bold colors + impeccable craftsmanship.",319,a8c28452-3137-4203-b663-92108de36ef9,dress
https://www.nuuly.com/rent/products/jaymes-midi-dress?color=001,Jaymes Midi Dress,"Gathering inspiration from the past and interpreting it for the present in a unique way is at the heart of the Free People aesthetic. Exclusive washes and distressing paired with feminine details like hand-stitching and contrast lace give each style its coveted, creative edge.",168,2e5c4ad7-7273-4a91-8174-77291f602445,dress
https://www.nuuly.com/rent/products/carys-mock-neck-sweater?color=039,Carys Mock Neck Sweater,"The name ""Maeve"" references a purple flower, a Greek goddess and a famously beautiful Irish warrior queen, all inspirations for this structured, delicate Exclusive to Anthropologie, Maeve designs are refined, flattering and endlessly wearable.",98,e80d1198-317a-4298-934e-405e4e3583be,sweater
https://www.nuuly.com/rent/products/sleeveless-v-neck-corset-midi-dress?color=071,Sleeveless V-Neck Corset Midi Dress,"The thoughtfully designed pieces from Anthropologie surprise, delight and tell stories—of a collaborative, inventive community of women savoring every adventure and seeking beauty wherever they go.",168,7a7ae382-495e-4868-aff3-423f6cd5f3ad,dress
